error_deg,current_A
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
-5.888671875,-1.09483
